,name,reference product,location,unit
69,"treatment of bottom ash, MSWI-WWT, rainwater mineral oil storage, slag compartment","bottom ash, MSWI-WWT, rainwater mineral oil storage",RoW,kilogram
70,"electric parts production, heat and power co-generation unit, 160kW electrical","electric parts, heat and power co-generation unit, 160kW electrical",RER,unit
71,market for cationic resin,cationic resin,RoW,kilogram
72,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GS,kilowatt hour
73,"electricity, high voltage, import from CH","electricity, high voltage",RO,kilowatt hour
74,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","electricity, high voltage",SK,kilowatt hour
75,"market for electricity, low voltage","electricity, low voltage",US-TRE,kilowatt hour
76,market for cyanuric chloride,cyanuric chloride,GLO,kilogram
77,"transport, passenger car, medium size, petrol, EURO 4","transport, passenger car, medium size, petrol, EURO 4",RER,kilometer
78,market for non-ionic surfactant,non-ionic surfactant,GLO,kilogram
79,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",GH,kilogram
80,"display production, cathode ray tube, 17 inches","display, cathode ray tube, 17 inches",GLO,unit
81,"transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",QA,ton kilometer
82,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",LV,kilowatt hour
83,market for hay,hay,GLO,kilogram
84,"hard coal mine operation, open cast, dragline","hard coal, run-of-mine",ZA,kilogram
85,"kerosene, import from RoW",kerosene,IN,kilogram
86,"market for NOx retained, by selective catalytic reduction","NOx retained, by selective catalytic reduction",GLO,kilogram
87,"natural gas, high pressure, domestic supply with seasonal storage","natural gas, high pressure",US,cubic meter
88,"water works construction, capacity 1.1E10l/year, conventional treatment","water works, capacity 1.1E10l/year",Europe without Switzerland,unit
89,"bitumen adhesive compound production, cold","bitumen adhesive compound, cold",RoW,kilogram
90,petroleum refinery operation,refinery gas,CH,kilogram
91,"market for transport, freight, lorry 7.5-16 metric ton, unregulated","transport, freight, lorry 7.5-16 metric ton, unregulated",BR,ton kilometer
92,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage",CA-PE,kilowatt hour
93,market for tin concentrate,tin concentrate,GLO,kilogram
94,"market for transport, freight train","transport, freight train",CH,ton kilometer
95,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",ZA,kilowatt hour
96,"market for electricity, low voltage","electricity, low voltage",CO,kilowatt hour
97,market for residue from shredder fraction from manual dismantling,residue from shredder fraction from manual dismantling,CH,kilogram
98,market for coke,coke,GLO,megajoule
99,"market for electricity, medium voltage","electricity, medium voltage",SS,kilowatt hour
100,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",HU,megajoule
101,"hardwood forestry, birch, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",SE,cubic meter
102,"rare earth oxides production, from rare earth carbonate concentrate",cerium oxide,CN-FJ,kilogram
103,glycine production,glycine,RER,kilogram
104,"electricity, low voltage, photovoltaic, import from Germany","electricity, low voltage",CH,kilowatt hour
105,"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",AU,megajoule
106,market for steel in car shredder residue,steel in car shredder residue,CH,kilogram
107,market for waste polyethylene terephthalate,waste polyethylene terephthalate,HU,kilogram
108,"metal working, average for metal product manufacturing","metal working, average for metal product manufacturing",RoW,kilogram
109,"fibre production, cotton, organic, ginning","fibre, cotton, organic",IN,kilogram
110,"market for mineral supplement, for beef cattle","mineral supplement, for beef cattle",GLO,kilogram
111,market for ceramic factory,ceramic factory,GLO,unit
112,"market for pulpwood, hardwood, measured as solid wood under bark","pulpwood, hardwood, measured as solid wood under bark",CH,cubic meter
113,hydroformylation of propylene,isobutanol,RER,kilogram
114,metal working factory construction,metal working factory,RER,unit
