,name,reference product,location,unit
8698,"transport, freight, small lorry with refrigeration machine, EURO6, R134a refrigerant, cooling to generic market","transport, freight, lorry with refrigeration machine, cooling",GLO,ton kilometer
8699,"heat production, at hard coal industrial furnace 1-10MW","heat, district or industrial, other than natural gas",Europe without Switzerland,megajoule
8700,chickpea production,chickpea,IN,kilogram
8701,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",BO,kilowatt hour
8702,uranium mill construction,uranium mill,US,unit
8703,"irrigation, sprinkler",irrigation,PE,cubic meter
8704,"phosgene production, liquid","phosgene, liquid",RoW,kilogram
8705,"market for transport, freight, lorry, unspecified","transport, freight, lorry, unspecified",BR,ton kilometer
8706,"market for natural gas, high pressure","natural gas, high pressure",TR,cubic meter
8707,"treatment of sewage sludge, 70% water, WWT, WW from liquid crystal production, municipal incineration","sewage sludge, 70% water, WWT, WW from liquid crystal production",GLO,kilogram
8708,"catch crop growing, sunflower, August-October, organic fertiliser 20 kg N",sunflower silage,RoW,kilogram
8709,cabbage white production,cabbage white,IN-UP,kilogram
8710,"market for ash, from combustion of straw","ash, from combustion of straw",GLO,kilogram
8711,manual dismantling of used passenger car with internal combustion engine,manual dismantling of used passenger car with internal combustion engine,GLO,unit
8712,"sunflower production, Swiss integrated production, intensive","sunflower seed, Swiss integrated production",CH,kilogram
8713,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",CA-BC,kilowatt hour
8714,"market for frit, for ceramic tile","frit, for ceramic tile",GLO,kilogram
8715,"indium rich leaching residues, from zinc production stockpiling","indium rich leaching residues, from zinc production stockpiling",RoW,kilogram
8716,"treatment of residue from TiO2 production, sulfate process, residual material landfill","residue from TiO2 production, sulfate process",CH,kilogram
8717,"market for maintenance, tram","maintenance, tram",GLO,unit
8718,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",CA-MB,kilowatt hour
8719,biogas production from grass,"protein feed, 100% crude",CH,kilogram
8720,"collection of polystyrene scrap, post-consumer","polystyrene scrap, post-consumer",RoW,kilogram
8721,"energy and auxilliary inputs, metal working factory, with heating from natural gas","energy and auxilliary inputs, metal working factory",RER,kilogram
8722,"inverter production, 500kW","inverter, 500kW",RER,unit
8723,"electricity production, hydro, run-of-river","electricity, high voltage",CN-CQ,kilowatt hour
8724,"electricity production, hard coal","electricity, high voltage",US-ASCC,kilowatt hour
8725,"transport, freight, lorry 3.5-7.5 metric ton, EURO5","transport, freight, lorry 3.5-7.5 metric ton, EURO5",BR,ton kilometer
8726,"market for nylon 6-6, glass-filled","nylon 6-6, glass-filled",RoW,kilogram
8727,"market for wheat seed, for sowing","wheat seed, for sowing",GLO,kilogram
8728,"maintenance, intermodal shipping container, 40-foot, high-cube","maintenance, intermodal shipping container, 40-foot, high-cube",GLO,unit
8729,"market for fluorescent whitening agent, distyrylbiphenyl type","fluorescent whitening agent, distyrylbiphenyl type",GLO,kilogram
8730,"market for nickel concentrate, 7% Ni","nickel concentrate, 7% Ni",CN,kilogram
8731,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",CO,kilogram
8732,"treatment of residue from mechanical treatment, industrial device, municipal incineration with fly ash extraction","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
8733,sodium oxide production,sodium oxide,RoW,kilogram
8734,market for vacuum cleaner,vacuum cleaner,GLO,unit
8735,"printing ink production, offset, product in 47.5% solution state","printing ink, offset, without solvent, in 47.5% solution state",RoW,kilogram
8736,"electricity, high voltage, import from RAS","electricity, high voltage",VN,kilowatt hour
8737,"cadmium sulfide production, semiconductor-grade","cadmium sulfide, semiconductor-grade",US,kilogram
8738,"electricity, high voltage, production mix","electricity, high voltage",SA,kilowatt hour
8739,bipyridylium-compound production,bipyridylium-compound,RER,kilogram
8740,"heat and power co-generation, lignite","electricity, high voltage",HU,kilowatt hour
8741,"electricity production, lignite","electricity, high voltage",IN-GJ,kilowatt hour
8742,"treatment of sewage sludge, 97% water, WWT, WW, average, landfarming","sewage sludge, 97% water, WWT, WW, average",Europe without Switzerland,kilogram
8743,"market for electricity, low voltage","electricity, low voltage",CL,kilowatt hour
8744,"polyvinylfluoride, film production","polyvinylfluoride, film",US,kilogram
8745,"glazing production, double, U<1.1 W/m2K, laminated safety glass","glazing, double, U<1.1 W/m2K, laminated safety glass",RER,square meter
8746,"market for pinto bean seed, for sowing","pinto bean seed, for sowing",GLO,kilogram
8747,"clear-cutting, primary forest to arable land, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-PA,kilogram
8748,"yarn production, cotton, ring spinning, for weaving","yarn, cotton",GLO,kilogram
8749,"rosin size production, for paper production","rosin size, for paper production",RoW,kilogram
8750,"land already in use, annual cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",CN,kilogram
8751,"hard coal mine operation, open cast, truck and shovel","hard coal, run-of-mine",ZA,kilogram
8752,"market for electricity, medium voltage","electricity, medium voltage",FR,kilowatt hour
8753,"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant, pressure water reactor, 1000MW",FR,unit
8754,"treatment of sewage sludge, 97% water, WWT, WW from plywood production, landfarming","sewage sludge, 97% water, WWT, WW from plywood production",RoW,kilogram
8755,"machine operation, diesel, >= 18.64 kW and < 74.57 kW, high load factor","machine operation, diesel, >= 18.64 kW and < 74.57 kW, high load factor",GLO,hour
8756,"heat production, softwood chips from forest, at furnace 300kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",RoW,megajoule
8757,"white spirit production, petroleum refinery operation",white spirit,RoW,kilogram
8758,"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",BR,kilogram
8759,"market for electricity, low voltage","electricity, low voltage",ZM,kilowatt hour
8760,nutrient supply from ammonium sulfate,"inorganic nitrogen fertiliser, as N",RER,kilogram
8761,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-TN,kilowatt hour
8762,"sheep production, for wool","sheep for slaughtering, live weight",RoW,kilogram
8763,"treatment of residue from mechanical treatment, desktop computer, municipal incineration with fly ash extraction","residue from mechanical treatment, desktop computer",CH,kilogram
8764,market for basic oxygen furnace secondary metallurgy slag,basic oxygen furnace secondary metallurgy slag,RoW,kilogram
8765,market for waste packaging paper,waste packaging paper,SK,kilogram
8766,"treatment of waste electric wiring, collection for final disposal",waste electric wiring,RoW,kilogram
8767,market for ethoxylated alcohol (AE3),ethoxylated alcohol (AE3),RER,kilogram
8768,polystyrene foam slab production,polystyrene foam slab,RER,kilogram
8769,market for chlorpropham,chlorpropham,GLO,kilogram
8770,market for waste paperboard,waste paperboard,CZ,kilogram
8771,"polyvinylfluoride production, dispersion","polyvinylfluoride, dispersion",US,kilogram
8772,"treatment of waste wood, post-consumer, sorting and shredding","wood chips, from post-consumer wood, measured as dry mass",RoW,kilogram
8773,market for benzaldehyde,benzaldehyde,RoW,kilogram
8774,"electricity production, hard coal","electricity, high voltage",CN-CQ,kilowatt hour
8775,"market for concrete, 20MPa","concrete, 20MPa",ZA,cubic meter
8776,"market for electricity, low voltage","electricity, low voltage",KH,kilowatt hour
8777,"furnace production, wood chips, softwood storage area, 1000kW","furnace, wood chips, softwood storage area, 1000kW",CH,unit
8778,"market for natural gas, high pressure","natural gas, high pressure",ES,cubic meter
8779,"market for passenger car, electric, without battery","passenger car, electric, without battery",GLO,kilogram
8780,"market for cement, CEM II/B-S","cement, CEM II/B-S",ZA,kilogram
8781,"market for supply air inlet, steel/SS, DN 75","supply air inlet, steel/SS, DN 75",GLO,unit
8782,"dewatering of ethanol from biomass, from 95% to 99.7% solution state","ethanol, without water, in 99.7% solution state, from fermentation",CN,kilogram
8783,"market for electricity, low voltage","electricity, low voltage",MK,kilowatt hour
8784,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-TJ,kilowatt hour
8785,"deep well drilling, for deep geothermal power","deep well, drilled, for geothermal power",NI,meter
8786,"hake, capture by trawler and landing whole, fresh","demersal fish, fresh",ES,kilogram
8787,market for waste polystyrene,waste polystyrene,GB,kilogram
8788,woven bamboo mat production,woven bamboo mat,CN,kilogram
8789,"market for sawnwood, board, softwood, raw, dried (u=20%)","sawnwood, board, softwood, raw, dried (u=20%)",Europe without Switzerland,cubic meter
8790,"fertilising, by broadcaster","fertilising, by broadcaster",ZA,hectare
8791,"market for electricity, low voltage","electricity, low voltage",FI,kilowatt hour
8792,"electricity production, natural gas, conventional power plant","electricity, high voltage",CA-NF,kilowatt hour
8793,"market for sawdust, wet, measured as dry mass","sawdust, wet, measured as dry mass",CA-QC,kilogram
8794,"treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration","sewage sludge, 70% water, WWT, WW from hard fibreboard production",RER,kilogram
8795,"transport, pipeline, onshore, long distance, natural gas","transport, pipeline, onshore, long distance, natural gas",NG,ton kilometer
8796,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",MG,kilogram
8797,"treatment of waste polyurethane, municipal incineration with fly ash extraction","heat, for reuse in municipal waste incineration only",CH,megajoule
8798,cyclohexane production,cyclohexane,RoW,kilogram
8799,"rare earth oxides production, from rare earth oxide concentrate, 70% REO",terbium-dysprosium oxide,CN-SC,kilogram
8800,"irrigation, surface",irrigation,PH,cubic meter
8801,"market for electricity, low voltage","electricity, low voltage",CN-NCGC,kilowatt hour
8802,ceramic tile production,ceramic tile,CH,kilogram
8803,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas",CA-PE,megajoule
8804,market for electric arc furnace slag,electric arc furnace slag,IN,kilogram
8805,"natural gas, high pressure, import from US","natural gas, high pressure",FR,cubic meter
8806,market for nitrous dioxide,nitrous dioxide,RER,kilogram
8807,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-GA,kilowatt hour
8808,"treatment of sewage sludge, 70% water, WWT, WW from grass refinery, municipal incineration FAE","sewage sludge, 70% water, WWT, WW from grass refinery",CH,kilogram
8809,"clear-cutting, grassland to arable land, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-MT,kilogram
8810,"land already in use, perennial cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",MX,kilogram
8811,"seal production, natural rubber based","seal, natural rubber based",RoW,kilogram
8812,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",KR,megajoule
8813,"treatment of waste glass sheet, collection for final disposal",waste glass sheet,CH,kilogram
8814,market for propionic acid,propionic acid,GLO,kilogram
8815,hydraulic digger production,hydraulic digger,RoW,unit
8816,market for electric arc furnace converter,electric arc furnace converter,GLO,unit
8817,polybutadiene production,polybutadiene,RER,kilogram
8818,aluminium hydroxide production,aluminium hydroxide,RoW,kilogram
8819,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",PT,kilowatt hour
8820,"hard coal, import from RLA",hard coal,CN,kilogram
8821,"battery cell production, Li-ion, NCA","battery cell, Li-ion, NCA",RoW,kilogram
8822,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-UT,kilowatt hour
8823,"fatty alcohol sulfate production, petrochemical",fatty alcohol sulfate,RER,kilogram
8824,cobalt sulfate production,cobalt sulfate,CN,kilogram
8825,"electricity, high voltage, production mix","electricity, high voltage",AE,kilowatt hour
8826,"treatment of sewage sludge, 97% water, WWT, WW, average, landfarming","organic potassium fertiliser, as K2O",CH,kilogram
8827,treatment of Sn-based antifouling paint emissions,antifouling paint emissions,RoW,kilogram
8828,"treatment of waste emulsion paint on wall, sorting plant","waste emulsion paint, on wall",CH,kilogram
8829,"treatment of sulfidic tailings, from nickel mine operation, tailings impoundment","sulfidic tailings, from nickel mine operation",ZA,kilogram
8830,"aluminium alloy production, Metallic Matrix Composite","aluminium alloy, metal matrix composite",RoW,kilogram
8831,"aircraft production, passenger aircraft, medium haul","aircraft, passenger, medium haul",GLO,unit
8832,"fibre production, viscose","fibre, viscose",GLO,kilogram
8833,foam glass factory construction,foam glass factory,RoW,unit
8834,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",IN-North-eastern grid,kilowatt hour
8835,"packing, fibre cement product","packing, fibre cement product",CH,kilogram
8836,"market for sawnwood, beam, hardwood, dried (u=20%), planed","sawnwood, beam, hardwood, dried (u=20%), planed",Europe without Switzerland,cubic meter
8837,"treatment of residues, MSWI[F]-WWT, rainwater mineral oil storage, residual material landfill","residues, MSWI[F]-WWT, rainwater mineral oil storage",CH,kilogram
8838,market for waste polyvinylchloride,waste polyvinylchloride,AT,kilogram
8839,"electricity voltage transformation, residual mix, from high to medium voltage","electricity, medium voltage",BE,kilowatt hour
8840,"transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",NO,ton kilometer
8841,"treatment of hazardous waste, hazardous waste incineration","hazardous waste, for incineration",CH,kilogram
8842,"electricity, low voltage, residual mix","electricity, low voltage",CY,kilowatt hour
8843,"market for electricity, high voltage","electricity, high voltage",SA,kilowatt hour
8844,"treatment of sewage sludge, 75% water, WWT, WW from GGBFS production, sanitary landfill","heat, district or industrial, other than natural gas",RoW,megajoule
8845,market for lead concentrate stockpiling,lead concentrate stockpiling,GLO,kilogram
8846,"market for used internal combustion engine, passenger car","used internal combustion engine, passenger car",GLO,kilogram
8847,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",DE,kilowatt hour
8848,"market for sawlog and veneer log, softwood, measured as solid wood under bark","sawlog and veneer log, softwood, measured as solid wood under bark",CH,cubic meter
8849,"market for potassium nitrate, technical grade","potassium nitrate, technical grade",GLO,kilogram
8850,"market for sawnwood, beam, softwood, raw, dried (u=20%)","sawnwood, beam, softwood, raw, dried (u=20%)",CH,cubic meter
8851,potato production,potato,UA,kilogram
8852,"heat and power co-generation, wood chips, 6667 kW","electricity, high voltage",IN-MP,kilowatt hour
8853,treatment of automobile catalyst,rhodium,RoW,kilogram
8854,residual material landfill construction,residual material landfill,RoW,unit
8855,petroleum refinery operation,heavy fuel oil,CH,kilogram
8856,"treatment of hard coal ash, municipal incineration",hard coal ash,CH,kilogram
8857,"cottonseed production, for sowing","cottonseed, for sowing",RoW,kilogram
8858,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",CL,kilowatt hour
8859,"treatment of refinery sludge, hazardous waste incineration, with energy recovery",refinery sludge,RoW,kilogram
8860,slag landfill construction,slag landfill,CH,unit
8861,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",HU,kilowatt hour
8862,"fatty acid production, from palm oil",fatty acid,RER,kilogram
8863,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",ZA,kilowatt hour
8864,market for nitrous dioxide,nitrous dioxide,RoW,kilogram
8865,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","electricity, high voltage",KR,kilowatt hour
8866,market for coriander,coriander,GLO,kilogram
8867,"treatment of sewage sludge, 70% water, WWT, WW from concrete production, municipal incineration FAE","sewage sludge, 70% water, WWT, WW from concrete production",CH,kilogram
8868,bisphenol A epoxy based vinyl ester resin production,bisphenol A epoxy based vinyl ester resin,RER,kilogram
8869,"fatty acid production, from palm kernel oil",fatty acid,RoW,kilogram
8870,hydrogen fluoride production,hydrogen fluoride,RoW,kilogram
8871,tantalum mine operation and beneficiation,"tantalum concentrate, 30% Ta2O5",CD,kilogram
8872,"nitric acid production, product in 50% solution state","steam, in chemical industry",RU,kilogram
8873,market for waste polystyrene,waste polystyrene,GR,kilogram
8874,"market for fodder loading, by self-loading trailer","fodder loading, by self-loading trailer",GLO,cubic meter
8875,"rare earth oxides production, from rare earth oxide concentrate, 50% REO",cerium oxide,CN-NM,kilogram
8876,"linseed seed production, at farm","linseed seed, at farm",CH,kilogram
8877,"internal combustion engine production, passenger car","internal combustion engine, passenger car",GLO,kilogram
8878,aluminium oxide production,"aluminium oxide, non-metallurgical","IAI Area, Russia & RER w/o EU27 & EFTA",kilogram
8879,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",US-NPCC,kilowatt hour
8880,"waste collection lorry production, 21 metric ton","waste collection lorry, 21 metric ton",RoW,unit
8881,"market for aluminium oxide, metallurgical","aluminium oxide, metallurgical","IAI Area, EU27 & EFTA",kilogram
8882,market for coffee maker,coffee maker,GLO,unit
8883,n-olefins production,n-olefins,RER,kilogram
8884,"lath, softwood, raw, kiln drying to u=10%","sawnwood, lath, softwood, raw, dried (u=10%)",CA-QC,cubic meter
8885,"power sawing, without catalytic converter","power sawing, without catalytic converter",RoW,hour
8886,"market for diesel, burned in diesel-electric generating set, 18.5kW","diesel, burned in diesel-electric generating set, 18.5kW",GLO,megajoule
8887,"market for waste plastic, mixture","waste plastic, mixture",IT,kilogram
8888,"market for blower and heat exchange unit, Twl-700","blower and heat exchange unit, Twl-700",GLO,unit
8889,"phosphoric acid production, dihydrate process","fluosilicic acid, without water, in 22% solution state",US,kilogram
8890,vinyl chloride production,vinyl chloride,RER,kilogram
8891,"electricity production, oil","electricity, high voltage",CN-LN,kilowatt hour
8892,"electricity production, natural gas, conventional power plant","electricity, high voltage",MX,kilowatt hour
8893,"market for sulfidic tailings, from zinc-lead mine operation","sulfidic tailings, from zinc-lead mine operation",PE,kilogram
8894,"market for generator, mini CHP plant","generator, mini CHP plant",GLO,unit
8895,"land already in use, perennial cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",MY,kilogram
8896,"glued laminated timber production, MUF-glue","residual wood, dry",CH,cubic meter
8897,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",CN-XZ,kilowatt hour
8898,"market for trawler maintenance, steel","trawler maintenance, steel",GLO,kilogram
8899,beet sugar production,"sugar, from sugar beet",RoW,kilogram
8900,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",FR,megajoule
8901,"planing, beam, hardwood, u=10%","shavings, hardwood, loose, measured as dry mass",CA-QC,kilogram
8902,"solar collector system installation, Cu flat plate collector, one-family house, combined system","solar collector system, Cu flat plate collector, one-family house, combined system",CH,unit
8903,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",CA-PE,kilowatt hour
8904,"treatment of uranium tailing, non-radioactive emission","uranium tailing, non-radioactive emission",GLO,cubic meter
8905,white spirit production,white spirit,RER,kilogram
8906,"market for electricity, low voltage","electricity, low voltage",NL,kilowatt hour
8907,"market for rape oil, crude","rape oil, crude",CH,kilogram
8908,market for waste polyethylene,waste polyethylene,XK,kilogram
8909,"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage",KR,kilowatt hour
8910,"petroleum and gas production, offshore","natural gas, high pressure",AE,cubic meter
8911,"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",CH,megajoule
8912,chromium production,chromium,RoW,kilogram
8913,"maintenance, lorry 16 metric ton","maintenance, lorry 16 metric ton",RoW,unit
8914,"treatment of blast furnace gas, in power plant","electricity, high voltage",SK,kilowatt hour
8915,"market for display, cathode ray tube, 17 inches","display, cathode ray tube, 17 inches",GLO,unit
8916,"electricity production, deep geothermal","electricity, high voltage",CR,kilowatt hour
8917,"treatment of used window frame, plastic, collection for final disposal","used window frame, plastic",CH,square meter
8918,"cathode production, NMC811, for Li-ion battery","cathode, NMC811, for Li-ion battery",RoW,kilogram
8919,"packing, clay product","packing, clay product",CH,kilogram
8920,silver mine operation with extraction,zinc concentrate,PE,kilogram
8921,"anode production, paste, for aluminium electrolysis","anode, paste, for aluminium electrolysis","IAI Area, Russia & RER w/o EU27 & EFTA",kilogram
8922,market for waste paperboard,waste paperboard,ZA,kilogram
8923,"impact extrusion of steel, cold, 3 strokes","impact extrusion of steel, cold, 3 strokes",RoW,kilogram
8924,"petroleum combustion, in drilling tests","petroleum combustion, in drilling tests",GLO,kilogram
8925,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",GH,kilowatt hour
8926,"strawberry seedling production, in heated greenhouse, for planting","strawberry seedling, for planting",RoW,unit
8927,"market for glass fibre reinforced plastic, polyamide, injection moulded","glass fibre reinforced plastic, polyamide, injection moulded",GLO,kilogram
8928,"market for land use change, annual crop","land use change, annual crop",BR-AM,hectare
8929,"electricity, medium voltage, residual mix","electricity, medium voltage",HU,kilowatt hour
8930,"sulfate pulp production, from softwood, bleached","sulfate pulp, bleached",RoW,kilogram
8931,"electricity, high voltage, import from EC","electricity, high voltage",PE,kilowatt hour
8932,"market for transport, passenger car with internal combustion engine","transport, passenger car with internal combustion engine",RoW,kilometer
8933,"petroleum and gas production, onshore",petroleum,IR,kilogram
8934,"electricity production, oil","electricity, high voltage",IN-NL,kilowatt hour
8935,"planing, board, hardwood, u=10%","sawnwood, board, hardwood, dried (u=10%), planed",CH,cubic meter
8936,"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass",DE,kilogram
8937,jatropha seed production,jatropha seed,GLO,kilogram
8938,market for corrugated board box,corrugated board box,US,kilogram
8939,"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming","sewage sludge, 97% water, WWT, rainwater mineral oil storage",CH,kilogram
8940,"treatment of waste emulsion paint, municipal incineration with fly ash extraction","heat, for reuse in municipal waste incineration only",CH,megajoule
8941,"capacitor production, film type, for through-hole mounting","capacitor, film type, for through-hole mounting",GLO,kilogram
8942,"helium, crude stockpiling","helium, crude stockpiling",US,kilogram
8943,"land use change, annual crop","land use change, annual crop",AU,hectare
8944,"propylene oxide production, liquid","propylene oxide, liquid",RER,kilogram
8945,"rice production, non-basmati","rice, non-basmati",IN,kilogram
8946,"market for landed hake, fresh","landed hake, fresh",GLO,kilogram
8947,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",TR,kilogram
8948,"market for residue from mechanical treatment, IT accessory","residue from mechanical treatment, IT accessory",RoW,kilogram
8949,market for silicon carbide,silicon carbide,GLO,kilogram
8950,motor scooter production,"motor scooter, 50 cubic cm engine",RoW,unit
8951,ethanol production from maize,Distiller's Dried Grains with Solubles,US,kilogram
8952,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",RoW,megajoule
8953,potato production,potato,CA-QC,kilogram
8954,"treatment of sewage sludge, 97% water, WWT, WW from vegetable oil refinery, landfarming","organic phosphorus fertiliser, as P2O5",GLO,kilogram
8955,"treatment of waste concrete gravel, sorting plant",waste concrete gravel,CH,kilogram
8956,"market for heat, for reuse in municipal waste incineration only","heat, for reuse in municipal waste incineration only",GB,megajoule
8957,"quicklime production, milled, loose","quicklime, milled, loose",CA-QC,kilogram
8958,"heat and power co-generation unit construction, 200kW electrical, components for electricity only","heat and power co-generation unit, 200kW electrical, components for electricity only",RER,unit
8959,market for waste polyvinylchloride,waste polyvinylchloride,RS,kilogram
8960,"market for DTPA, diethylenetriaminepentaacetic acid","DTPA, diethylenetriaminepentaacetic acid",RER,kilogram
8961,"treatment of waste brick, sorting plant",waste brick,Europe without Switzerland,kilogram
8962,"market for fishmeal, 63-65% protein","fishmeal, 63-65% protein",GLO,kilogram
8963,"sawing, softwood",bark,CA-QC,kilogram
8964,"treatment of sewage sludge, 75% water, WWT, WW from ammonium paratungstate production, sanitary landfill","heat, district or industrial, other than natural gas",CN,megajoule
8965,"ash, from combustion of straw, Recycled Content cut-off","ash, from combustion of straw",GLO,kilogram
8966,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",MK,kilogram
8967,"market group for transport, freight, lorry, unspecified","transport, freight, lorry, unspecified",GLO,ton kilometer
8968,"operation, dried roughage store, air dried, solar","operation, dried roughage store, air dried, solar",RoW,kilogram
8969,"market for electricity, low voltage","electricity, low voltage",KW,kilowatt hour
8970,"outside air intake production, stainless steel, DN 370","outside air intake, stainless steel, DN 370",RER,unit
8971,"heat and power co-generation, natural gas, 1MW electrical, lean burn","heat, district or industrial, natural gas",Europe without Switzerland,megajoule
8972,"treatment of waste polyethylene, municipal incineration","electricity, for reuse in municipal waste incineration only",RoW,kilowatt hour
8973,"treatment of residue from mechanical treatment, industrial device, municipal waste incineration","residue from mechanical treatment, industrial device",RoW,kilogram
8974,"market for electricity, high voltage","electricity, high voltage",TH,kilowatt hour
8975,"land already in use, perennial cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",FR,kilogram
8976,"market for impact extrusion of aluminium, cold, initial surface treatment","impact extrusion of aluminium, cold, initial surface treatment",GLO,kilogram
8977,"impact extrusion of aluminium, cold, initial surface treatment","impact extrusion of aluminium, cold, initial surface treatment",RER,kilogram
8978,"treatment of municipal solid waste, sanitary landfill",municipal solid waste,CH,kilogram
8979,"blower and heat exchange unit production, central, 600-1200 m3/h","blower and heat exchange unit, central, 600-1200 m3/h",RoW,unit
8980,market for reformate,reformate,GLO,kilogram
8981,phosphate rock beneficiation,"phosphate rock, beneficiated",RoW,kilogram
8982,"glass cullet, sorted, Recycled Content cut-off","glass cullet, sorted",GLO,kilogram
8983,"electricity production, oil","electricity, high voltage",IN-UT,kilowatt hour
8984,sodium pyrophosphate production,sodium pyrophosphate,GLO,kilogram
8985,"suction, sawdust","sawdust, wet, measured as dry mass",CH,kilogram
8986,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",EE,megajoule
8987,"harvesting, by complete harvester, beets","harvesting, by complete harvester, beets",CH,hectare
8988,"market for electricity, high voltage","electricity, high voltage",MT,kilowatt hour
8989,"market for electricity, high voltage","electricity, high voltage",ET,kilowatt hour
8990,potato starch production,potato starch,RoW,kilogram
8991,"electricity production, oil","electricity, high voltage",LV,kilowatt hour
8992,nutrient supply from NPK (26-15-15) fertiliser,"inorganic phosphorus fertiliser, as P2O5",CN,kilogram
8993,"heat production, mixed logs, at furnace 30kW, state-of-the-art 2014","heat, central or small-scale, other than natural gas",CH,megajoule
8994,"treatment of municipal solid waste, incineration",municipal solid waste,KR,kilogram
8995,"land use change, paddy rice","land use change, paddy rice",CN,hectare
8996,"market for concrete, 30MPa","concrete, 30MPa",ZA,cubic meter
8997,market for lignite briquettes factory,lignite briquettes factory,GLO,unit
8998,cork slab production,cork slab,RER,kilogram
8999,"market for land tenure, arable land, measured as carbon net primary productivity, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-RO,kilogram
9000,"sawdust, wet, measured as dry mass to generic market for residual softwood, wet","residual hardwood, wet",CA-QC,cubic meter
9001,"deep drawing, steel, 10000 kN press, single stroke","deep drawing, steel, 10000 kN press, single stroke",RoW,kilogram
9002,"treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,RoW,kilogram
9003,sowing,sowing,BR,hectare
9004,"market for electricity, medium voltage","electricity, medium voltage",HK,kilowatt hour
9005,"coffee green bean production, arabica","coffee, green bean",IN,kilogram
9006,"electricity production, hydro, pumped storage","electricity, high voltage",CN-XZ,kilowatt hour
9007,maleic anhydride production by catalytic oxidation of benzene,"steam, in chemical industry",RER,kilogram
9008,market for barge tanker,barge tanker,GLO,unit
9009,market for dishwasher,dishwasher,GLO,unit
9010,"treatment of waste emulsion paint on wall, collection for final disposal","waste emulsion paint, on wall",RoW,kilogram
9011,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",US-ASCC,kilowatt hour
9012,"market for oil boiler, 10kW","oil boiler, 10kW",GLO,unit
9013,barge production,barge,RoW,unit
9014,"polystyrene foam slab production, 100% recycled",polystyrene foam slab,CH,kilogram
9015,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",DE,kilowatt hour
9016,"fatty alcohol production, from coconut oil",fatty alcohol,RoW,kilogram
9017,"NMC111 hydroxide production, for Li-ion battery","sodium sulfate, anhydrite",CN,kilogram
9018,"market for electricity, medium voltage","electricity, medium voltage",AL,kilowatt hour
